gender,points,badges_cnt,user_grade,user_city,has_teacher_cnt,is_self_coach,has_student_cnt,belongs_to_class_cnt,has_class_cnt,is_correct
no_value,18300,1,1,kh,0,0,0,0,0,0.8947368421052632
no_value,6468,0,1,ntpc,1,0,0,1,0,0.7222222222222222
male,4703,0,1,tp,0,0,0,0,0,0.8571428571428571
no_value,15525,1,2,ntpc,0,0,0,0,0,0.8666666666666667
no_value,7945,0,2,km,1,0,0,1,0,0.75
no_value,101353,11,2,kh,1,0,0,1,0,0.8955223880597015
male,7503,0,2,kh,1,0,0,1,0,0.9130434782608696
no_value,11535,4,2,ntpc,1,0,0,1,0,0.7692307692307693
no_value,12825,2,3,ntpc,1,0,0,1,0,0.7333333333333333
no_value,11700,1,3,ntpc,1,0,0,1,0,0.8857142857142857
no_value,11760,2,3,ntpc,1,0,0,1,0,0.65
no_value,34465,6,3,ntpc,1,0,0,1,0,0.8762886597938144
male,255143,30,3,ntpc,5,1,6,4,1,0.8503937007874016
no_value,8094,1,3,ntpc,1,0,0,1,0,0.6206896551724138
male,425796,53,4,tc,1,0,0,1,0,0.7398568019093079
no_value,975,0,4,tc,0,0,0,0,0,0.2
male,234192,45,4,tp,1,1,24,0,0,0.8212461695607763
no_value,1431,0,4,kh,0,0,0,0,0,1.0
no_value,19800,3,4,ntpc,1,0,0,1,0,0.7377049180327869
no_value,23320,2,4,kh,0,0,0,0,0,0.8769230769230769
female,32909,6,4,tp,0,0,0,0,0,0.6875
male,168196,13,4,ntpc,0,0,14,0,2,0.8733766233766234
no_value,16455,4,4,tc,1,0,0,1,0,0.5815602836879432
female,34597,7,4,ty,1,0,0,1,0,0.8248587570621468
no_value,4509,0,5,kl,1,0,0,0,0,0.875
no_value,57199,10,5,tn,0,0,0,0,0,0.7282051282051282
male,27213,3,5,ntpc,1,0,0,1,0,0.7474747474747475
female,3750,0,5,tc,0,0,0,0,1,0.7692307692307693
no_value,2925,0,5,tn,0,0,0,0,0,0.6
no_value,491926,70,5,kh,1,0,0,1,0,0.8269938650306748
female,18012,1,5,ntpc,2,0,1,2,2,0.8297872340425532
no_value,3285,0,5,tp,0,0,0,0,0,0.8333333333333334
male,18420,2,5,tc,1,0,0,1,0,0.9117647058823528
male,1050,0,5,tc,0,0,0,0,0,0.8571428571428571
male,25605,6,5,ntpc,0,0,0,0,0,0.7521008403361344
no_value,6210,0,5,ty,1,0,0,1,0,0.6122448979591837
no_value,20826,2,6,hc,1,0,0,1,0,0.5625
no_value,7275,3,6,ntpc,1,0,0,1,0,0.7142857142857143
no_value,194703,63,6,tp,0,0,0,0,0,0.6194398682042833
female,23704,1,6,ty,1,0,0,1,0,0.8739495798319328
no_value,33213,1,6,hc,1,0,0,1,0,0.7044025157232704
no_value,10544,5,6,cy,0,0,0,0,0,0.411214953271028
no_value,60105,5,6,hc,1,0,0,1,0,0.6804733727810651
unspecified,112149,7,6,hc,1,0,0,1,0,0.7290076335877863
no_value,176980,59,6,hc,1,0,0,0,0,0.4006499535747446
female,33711,2,6,ntpc,0,0,0,0,1,0.8145161290322581
no_value,4425,0,6,hc,0,0,0,0,0,0.8421052631578947
no_value,3993,0,6,kh,0,0,0,0,0,1.0
no_value,1890,0,7,hc,0,0,0,0,0,0.6666666666666666
no_value,2229,0,7,cy,0,0,0,0,0,0.7142857142857143
no_value,3898,0,7,ml,1,0,0,1,0,0.2307692307692307
male,9075,9,7,kh,3,0,0,3,0,0.238095238095238
no_value,60206,21,7,ty,1,0,0,1,0,0.4788732394366197
no_value,65092,1,7,tp,0,0,1,0,1,0.8536585365853658
no_value,7988,1,7,ml,1,0,0,1,0,0.0
female,122754,12,7,kh,0,0,0,0,0,0.797799174690509
no_value,2010,0,7,ntpc,0,0,0,0,0,1.0
no_value,4805,0,7,chc,0,0,0,0,0,0.8823529411764706
male,75816,29,7,tp,1,0,0,1,0,0.7108433734939759
no_value,16549,1,7,tc,0,0,0,0,0,0.94
male,93500,11,7,ntpc,1,0,0,2,0,0.6268115942028986
no_value,4211,1,7,ml,1,0,0,1,0,0.3939393939393939
female,8034,0,7,tc,0,0,0,0,0,0.9090909090909092
male,265725,24,7,ntpc,2,0,0,3,0,0.7304964539007093
no_value,7806,0,7,tp,0,0,0,0,0,1.0
male,5835,1,7,ml,1,0,0,1,0,0.4137931034482758
no_value,9320,1,7,ml,1,0,0,1,0,0.6666666666666666
female,168358,28,7,ntpc,0,0,0,0,0,0.6470588235294118
male,298261,32,7,ntpc,1,0,0,1,0,0.6444652908067542
female,228678,33,7,ntpc,2,0,0,3,0,0.6555183946488294
unspecified,41527,19,8,kh,0,0,0,0,0,0.5384615384615384
no_value,3375,0,8,ml,1,0,0,1,0,0.5
no_value,3300,0,8,ml,1,0,0,1,0,0.8
no_value,55485,12,8,ty,0,0,0,0,0,1.0
no_value,2250,0,8,ml,1,0,0,1,0,0.2
male,5400,1,8,chc,0,0,0,0,0,0.7777777777777778
female,29262,12,8,tp,1,0,0,1,0,0.868421052631579
no_value,3600,0,8,ml,1,0,0,1,0,0.6666666666666666
no_value,2925,0,9,ttct,0,0,0,0,0,0.9090909090909092
no_value,15448,5,9,ttct,1,0,0,1,0,0.5510204081632653
female,862,0,9,tn,1,0,0,1,0,0.5555555555555556
female,335394,24,9,ty,1,0,0,1,0,0.9
no_value,1725,0,10,ylc,1,0,0,0,0,0.625
no_value,17397,4,11,ntpc,1,0,0,1,0,0.4615384615384615
no_value,21780,3,1,tc,1,0,0,1,0,0.9090909090909092
female,4275,0,1,tp,1,0,0,1,0,1.0
no_value,40824,4,1,ylc,1,0,0,1,0,0.946969696969697
male,18126,2,1,chc,1,1,1,1,1,0.9411764705882352
no_value,900,0,1,kh,1,0,0,1,0,0.8571428571428571
no_value,4455,0,2,kh,0,0,0,0,0,0.8095238095238095
unspecified,126013,10,3,ml,2,0,0,3,0,0.7720090293453724
unspecified,55362,4,3,ml,2,0,0,3,0,0.8298969072164949
no_value,675,0,3,tp,1,0,0,1,0,0.0
male,109352,20,3,ml,1,0,0,1,0,0.9293193717277488
no_value,13425,3,4,tc,1,0,0,1,0,0.7349397590361446
male,11910,1,4,ml,1,0,0,1,0,0.8
male,161904,20,4,ml,3,0,0,3,0,0.7649572649572649
no_value,68790,4,4,hc,1,0,0,1,0,0.7735294117647059
no_value,94880,25,4,ntpc,0,0,0,0,0,0.7024793388429752
male,144654,37,4,tc,1,0,0,1,0,0.8272841051314143
