gender,points,badges_cnt,user_grade,user_city,has_teacher_cnt,is_self_coach,has_student_cnt,belongs_to_class_cnt,has_class_cnt,total_sec_taken,is_correct
no_value,18300,1,1,kh,0,0,0,0,0,37.8421052631579,1
no_value,6468,0,1,ntpc,1,0,0,1,0,31.58333333333333,1
male,4703,0,1,tp,0,0,0,0,0,19.428571428571427,1
no_value,15525,1,2,ntpc,0,0,0,0,0,21.826666666666668,1
no_value,7945,0,2,km,1,0,0,1,0,76.5,1
no_value,101353,11,2,kh,1,0,0,1,0,38.11194029850746,1
male,7503,0,2,kh,1,0,0,1,0,28.565217391304348,1
no_value,11535,4,2,ntpc,1,0,0,1,0,30.923076923076923,1
no_value,12825,2,3,ntpc,1,0,0,1,0,25.83333333333333,1
no_value,11700,1,3,ntpc,1,0,0,1,0,17.685714285714287,1
no_value,11760,2,3,ntpc,1,0,0,1,0,37.5,1
no_value,34465,6,3,ntpc,1,0,0,1,0,45.01030927835052,1
male,255143,30,3,ntpc,5,1,6,4,1,30.578740157480315,1
no_value,8094,1,3,ntpc,1,0,0,1,0,34.241379310344826,1
male,425796,53,4,tc,1,0,0,1,0,29.228520286396183,1
no_value,975,0,4,tc,0,0,0,0,0,68.2,0
male,234192,45,4,tp,1,1,24,0,0,29.787538304392235,1
no_value,1431,0,4,kh,0,0,0,0,0,24.4,1
no_value,19800,3,4,ntpc,1,0,0,1,0,31.704918032786885,1
no_value,23320,2,4,kh,0,0,0,0,0,16.946153846153845,1
female,32909,6,4,tp,0,0,0,0,0,89.71875,1
male,168196,13,4,ntpc,0,0,14,0,2,20.5487012987013,1
no_value,16455,4,4,tc,1,0,0,1,0,53.361702127659576,1
female,34597,7,4,ty,1,0,0,1,0,51.40677966101695,1
no_value,4509,0,5,kl,1,0,0,0,0,28.1875,1
no_value,57199,10,5,tn,0,0,0,0,0,35.774358974358975,1
male,27213,3,5,ntpc,1,0,0,1,0,33.60606060606061,1
female,3750,0,5,tc,0,0,0,0,1,23.692307692307693,1
no_value,2925,0,5,tn,0,0,0,0,0,53.0,1
no_value,491926,70,5,kh,1,0,0,1,0,54.96073619631902,1
female,18012,1,5,ntpc,2,0,1,2,2,36.67021276595744,1
no_value,3285,0,5,tp,0,0,0,0,0,46.388888888888886,1
male,18420,2,5,tc,1,0,0,1,0,16.955882352941178,1
male,1050,0,5,tc,0,0,0,0,0,24.714285714285715,1
male,25605,6,5,ntpc,0,0,0,0,0,20.214285714285715,1
no_value,6210,0,5,ty,1,0,0,1,0,151.40816326530611,1
no_value,20826,2,6,hc,1,0,0,1,0,99.6875,1
no_value,7275,3,6,ntpc,1,0,0,1,0,106.14285714285714,1
no_value,194703,63,6,tp,0,0,0,0,0,297.6177924217463,1
female,23704,1,6,ty,1,0,0,1,0,85.29411764705883,1
no_value,33213,1,6,hc,1,0,0,1,0,133.7735849056604,1
no_value,10544,5,6,cy,0,0,0,0,0,38.149532710280376,0
no_value,60105,5,6,hc,1,0,0,1,0,77.65384615384616,1
unspecified,112149,7,6,hc,1,0,0,1,0,68.93129770992367,1
no_value,176980,59,6,hc,1,0,0,0,0,30.33333333333333,0
female,33711,2,6,ntpc,0,0,0,0,1,27.475806451612904,1
no_value,4425,0,6,hc,0,0,0,0,0,15.68421052631579,1
no_value,3993,0,6,kh,0,0,0,0,0,19.666666666666668,1
no_value,1890,0,7,hc,0,0,0,0,0,63.0,1
no_value,2229,0,7,cy,0,0,0,0,0,32.0,1
no_value,3898,0,7,ml,1,0,0,1,0,45.30769230769231,0
male,9075,9,7,kh,3,0,0,3,0,19.066666666666663,0
no_value,60206,21,7,ty,1,0,0,1,0,13.4037558685446,0
no_value,65092,1,7,tp,0,0,1,0,1,10.51219512195122,1
no_value,7988,1,7,ml,1,0,0,1,0,79.6,0
female,122754,12,7,kh,0,0,0,0,0,32.08390646492435,1
no_value,2010,0,7,ntpc,0,0,0,0,0,93.27272727272728,1
no_value,4805,0,7,chc,0,0,0,0,0,12.235294117647058,1
male,75816,29,7,tp,1,0,0,1,0,70.28915662650603,1
no_value,16549,1,7,tc,0,0,0,0,0,10.0,1
male,93500,11,7,ntpc,1,0,0,2,0,38.32971014492754,1
no_value,4211,1,7,ml,1,0,0,1,0,45.48484848484848,0
female,8034,0,7,tc,0,0,0,0,0,121.8181818181818,1
male,265725,24,7,ntpc,2,0,0,3,0,52.40780141843972,1
no_value,7806,0,7,tp,0,0,0,0,0,10.8,1
male,5835,1,7,ml,1,0,0,1,0,42.793103448275865,0
no_value,9320,1,7,ml,1,0,0,1,0,32.416666666666664,1
female,168358,28,7,ntpc,0,0,0,0,0,61.45588235294117,1
male,298261,32,7,ntpc,1,0,0,1,0,41.348030018761726,1
female,228678,33,7,ntpc,2,0,0,3,0,60.14882943143812,1
unspecified,41527,19,8,kh,0,0,0,0,0,48.03846153846154,1
no_value,3375,0,8,ml,1,0,0,1,0,123.5,0
no_value,3300,0,8,ml,1,0,0,1,0,47.2,1
no_value,55485,12,8,ty,0,0,0,0,0,8.4,1
no_value,2250,0,8,ml,1,0,0,1,0,17.3,0
male,5400,1,8,chc,0,0,0,0,0,24.77777777777778,1
female,29262,12,8,tp,1,0,0,1,0,29.44736842105263,1
no_value,3600,0,8,ml,1,0,0,1,0,38.0,1
no_value,2925,0,9,ttct,0,0,0,0,0,8.0,1
no_value,15448,5,9,ttct,1,0,0,1,0,72.16326530612245,1
female,862,0,9,tn,1,0,0,1,0,68.33333333333333,1
female,335394,24,9,ty,1,0,0,1,0,116.375,1
no_value,1725,0,10,ylc,1,0,0,0,0,44.75,1
no_value,17397,4,11,ntpc,1,0,0,1,0,35.61538461538461,0
no_value,21780,3,1,tc,1,0,0,1,0,55.333333333333336,1
female,4275,0,1,tp,1,0,0,1,0,52.66666666666666,1
no_value,40824,4,1,ylc,1,0,0,1,0,45.41666666666666,1
male,18126,2,1,chc,1,1,1,1,1,10.235294117647058,1
no_value,900,0,1,kh,1,0,0,1,0,17.142857142857142,1
no_value,4455,0,2,kh,0,0,0,0,0,29.142857142857142,1
unspecified,126013,10,3,ml,2,0,0,3,0,31.372460496614,1
unspecified,55362,4,3,ml,2,0,0,3,0,24.81958762886598,1
no_value,675,0,3,tp,1,0,0,1,0,124.0,0
male,109352,20,3,ml,1,0,0,1,0,22.51570680628272,1
no_value,13425,3,4,tc,1,0,0,1,0,39.963855421686745,1
male,11910,1,4,ml,1,0,0,1,0,63.7,1
male,161904,20,4,ml,3,0,0,3,0,40.2008547008547,1
no_value,68790,4,4,hc,1,0,0,1,0,51.76176470588236,1
no_value,94880,25,4,ntpc,0,0,0,0,0,67.32231404958678,1
male,144654,37,4,tc,1,0,0,1,0,41.17271589486859,1
unspecified,354354,78,4,tc,0,0,0,0,0,102.07601713062098,1
female,568499,32,4,ntpc,2,0,0,3,1,93.84185082872928,1
unspecified,10500,5,4,tc,0,0,0,0,0,21.73076923076923,1
male,18845,1,4,ty,0,0,0,0,0,28.87323943661972,1
no_value,14473,2,4,ty,1,0,0,0,0,47.35294117647059,1
no_value,3210,0,4,kh,0,0,0,0,0,14.75,1
male,14174,1,4,tp,1,0,0,1,0,44.6,1
no_value,3975,0,4,tp,0,0,0,0,0,39.388888888888886,1
female,222329,23,4,ntpc,1,0,0,2,0,45.48095756256801,1
no_value,8100,0,5,tn,1,0,0,1,0,99.89189189189187,1
no_value,7770,5,5,ntpc,1,0,0,1,0,42.60416666666666,0
female,14572,1,5,tp,0,0,0,0,0,25.33333333333333,1
unspecified,112315,17,5,ntpc,1,0,0,1,0,61.63815789473684,1
no_value,1275,0,5,kh,0,0,0,0,0,20.666666666666668,1
male,3000,1,5,tc,2,0,0,2,1,40.78260869565217,1
no_value,27586,7,5,ml,1,0,0,0,0,68.08064516129032,1
female,29613,4,5,ntpc,1,0,0,1,0,46.369369369369366,1
no_value,3450,0,5,kl,1,0,0,0,0,76.04761904761905,1
no_value,2775,0,5,kh,1,0,0,1,0,51.10526315789474,1
no_value,1545,0,5,ntpc,0,0,0,0,0,81.6,1
no_value,1575,0,5,ntpc,0,0,0,0,0,57.6,1
female,258908,48,5,tp,1,0,0,1,0,71.81868131868131,1
female,37380,6,5,tp,1,0,0,1,0,71.52830188679245,1
no_value,21339,4,5,tp,1,0,0,1,0,100.92063492063492,1
no_value,9345,1,5,kh,1,0,0,1,0,66.29824561403508,1
unspecified,230489,69,5,ml,1,0,0,2,0,33.11697247706422,1
no_value,3225,2,6,ml,1,0,0,0,0,113.82,0
no_value,3300,0,6,tc,0,0,0,0,0,90.625,1
no_value,61910,8,6,ml,1,0,0,0,0,30.307462686567163,1
no_value,6420,3,6,ntpc,1,0,0,1,0,38.66666666666666,1
no_value,1950,0,6,tc,1,0,0,0,0,72.91666666666667,1
female,6892,0,6,tp,0,0,0,0,0,25.875,1
no_value,2025,0,6,tc,1,0,0,1,0,114.35714285714286,0
female,2571,0,6,kh,1,0,0,1,0,131.33333333333334,1
no_value,8250,0,6,tc,1,0,0,0,0,55.27777777777778,1
no_value,69266,8,6,tp,0,0,0,0,0,28.33587786259542,1
no_value,16550,4,6,tn,0,0,0,0,0,72.23232323232324,1
no_value,22090,1,6,ml,1,0,0,0,0,37.067796610169495,1
no_value,2025,1,6,cy,1,0,0,1,0,44.47368421052632,0
male,3555,0,6,tn,0,0,0,0,0,169.5,1
no_value,177542,23,6,tc,1,0,0,1,0,83.91894353369763,1
no_value,11085,1,6,tp,0,0,0,0,0,43.47692307692308,1
no_value,225,0,7,tc,0,0,0,0,0,9.333333333333334,0
no_value,6150,1,7,ntct,0,0,0,0,0,43.16666666666666,1
female,33330,4,7,ntpc,1,0,0,1,0,81.64912280701755,1
no_value,30773,9,7,tp,1,0,0,1,0,39.31818181818182,0
unspecified,9345,0,7,ml,1,0,0,1,0,21.4390243902439,1
female,38105,8,7,kh,0,0,0,0,0,75.38461538461539,1
female,6900,0,7,tc,0,0,0,0,0,31.63636363636364,1
male,65349,7,7,ntpc,0,0,0,0,0,46.19217081850534,1
male,13752,4,7,kh,0,0,0,0,0,42.0,1
no_value,13575,1,7,tc,1,0,0,1,0,27.140845070422536,1
no_value,6135,0,7,tc,0,0,0,0,0,13.857142857142858,1
no_value,8400,0,7,tc,0,0,0,0,0,17.594594594594593,1
no_value,44152,2,7,kh,1,0,0,1,0,48.1864406779661,1
no_value,6686,0,7,ntpc,3,0,0,3,0,24.17391304347826,1
no_value,11775,1,7,tc,0,0,0,0,0,13.57377049180328,1
no_value,16162,3,7,tn,0,0,0,0,0,20.25,1
female,49335,4,8,ilc,2,1,2,2,1,23.87804878048781,1
male,13035,1,8,kh,1,0,0,0,0,5.2,0
no_value,6284,0,8,ty,0,0,0,0,0,30.83333333333333,1
no_value,3221,0,8,tp,0,0,0,0,0,57.16666666666666,1
unspecified,204505,18,8,ml,2,0,0,3,0,33.88927335640138,1
no_value,44843,6,8,tc,0,0,0,0,0,39.35964912280702,1
no_value,6663,0,8,ntpc,0,0,0,0,0,88.69767441860465,1
male,48405,8,8,tc,1,0,0,1,0,33.29807692307692,1
no_value,14175,5,8,ntpc,1,0,0,1,0,6.380952380952381,1
no_value,28220,10,8,tp,0,0,0,0,1,58.29,1
no_value,8850,0,9,tp,0,0,0,0,0,61.06666666666667,1
no_value,68111,1,10,ty,0,0,0,0,0,21.25,1
no_value,17155,1,10,tp,0,0,0,0,0,18.328125,1
no_value,4916,2,10,ilc,0,0,0,0,0,45.3125,0
no_value,10373,4,10,ntpc,0,0,0,0,0,15.5625,1
no_value,3278,0,11,tp,0,0,0,0,0,27.33333333333333,1
no_value,10263,2,1,ntpc,0,0,0,0,0,18.33333333333333,1
female,2237,0,1,tc,0,0,0,0,0,26.09090909090909,1
female,9947,1,3,tp,0,0,0,0,0,79.34,1
male,38859,5,3,kh,0,0,0,0,0,23.973684210526315,1
no_value,4425,0,3,hlc,0,0,0,0,0,31.28,1
