gender,points,badges_cnt,user_grade,user_city,has_teacher_cnt,is_self_coach,has_student_cnt,belongs_to_class_cnt,has_class_cnt,is_correct
no_value,18300,1,1,kh,0,0,0,0,0,3
no_value,6468,0,1,ntpc,1,0,0,1,0,2
male,4703,0,1,tp,0,0,0,0,0,3
no_value,15525,1,2,ntpc,0,0,0,0,0,3
no_value,7945,0,2,km,1,0,0,1,0,2
no_value,101353,11,2,kh,1,0,0,1,0,3
male,7503,0,2,kh,1,0,0,1,0,3
no_value,11535,4,2,ntpc,1,0,0,1,0,3
no_value,12825,2,3,ntpc,1,0,0,1,0,2
no_value,11700,1,3,ntpc,1,0,0,1,0,3
no_value,11760,2,3,ntpc,1,0,0,1,0,2
no_value,34465,6,3,ntpc,1,0,0,1,0,3
male,255143,30,3,ntpc,5,1,6,4,1,3
no_value,8094,1,3,ntpc,1,0,0,1,0,2
male,425796,53,4,tc,1,0,0,1,0,2
no_value,975,0,4,tc,0,0,0,0,0,0
male,234192,45,4,tp,1,1,24,0,0,3
no_value,1431,0,4,kh,0,0,0,0,0,3
no_value,19800,3,4,ntpc,1,0,0,1,0,2
no_value,23320,2,4,kh,0,0,0,0,0,3
female,32909,6,4,tp,0,0,0,0,0,2
male,168196,13,4,ntpc,0,0,14,0,2,3
no_value,16455,4,4,tc,1,0,0,1,0,2
female,34597,7,4,ty,1,0,0,1,0,3
no_value,4509,0,5,kl,1,0,0,0,0,3
no_value,57199,10,5,tn,0,0,0,0,0,2
male,27213,3,5,ntpc,1,0,0,1,0,2
female,3750,0,5,tc,0,0,0,0,1,3
no_value,2925,0,5,tn,0,0,0,0,0,2
no_value,491926,70,5,kh,1,0,0,1,0,3
female,18012,1,5,ntpc,2,0,1,2,2,3
no_value,3285,0,5,tp,0,0,0,0,0,3
male,18420,2,5,tc,1,0,0,1,0,3
male,1050,0,5,tc,0,0,0,0,0,3
male,25605,6,5,ntpc,0,0,0,0,0,3
no_value,6210,0,5,ty,1,0,0,1,0,2
no_value,20826,2,6,hc,1,0,0,1,0,2
no_value,7275,3,6,ntpc,1,0,0,1,0,2
no_value,194703,63,6,tp,0,0,0,0,0,2
female,23704,1,6,ty,1,0,0,1,0,3
no_value,33213,1,6,hc,1,0,0,1,0,2
no_value,10544,5,6,cy,0,0,0,0,0,1
no_value,60105,5,6,hc,1,0,0,1,0,2
unspecified,112149,7,6,hc,1,0,0,1,0,2
no_value,176980,59,6,hc,1,0,0,0,0,1
female,33711,2,6,ntpc,0,0,0,0,1,3
no_value,4425,0,6,hc,0,0,0,0,0,3
no_value,3993,0,6,kh,0,0,0,0,0,3
no_value,1890,0,7,hc,0,0,0,0,0,2
no_value,2229,0,7,cy,0,0,0,0,0,2
no_value,3898,0,7,ml,1,0,0,1,0,0
male,9075,9,7,kh,3,0,0,3,0,0
no_value,60206,21,7,ty,1,0,0,1,0,1
no_value,65092,1,7,tp,0,0,1,0,1,3
no_value,7988,1,7,ml,1,0,0,1,0,0
female,122754,12,7,kh,0,0,0,0,0,3
no_value,2010,0,7,ntpc,0,0,0,0,0,3
no_value,4805,0,7,chc,0,0,0,0,0,3
male,75816,29,7,tp,1,0,0,1,0,2
no_value,16549,1,7,tc,0,0,0,0,0,3
male,93500,11,7,ntpc,1,0,0,2,0,2
no_value,4211,1,7,ml,1,0,0,1,0,1
female,8034,0,7,tc,0,0,0,0,0,3
male,265725,24,7,ntpc,2,0,0,3,0,2
no_value,7806,0,7,tp,0,0,0,0,0,3
male,5835,1,7,ml,1,0,0,1,0,1
no_value,9320,1,7,ml,1,0,0,1,0,2
female,168358,28,7,ntpc,0,0,0,0,0,2
male,298261,32,7,ntpc,1,0,0,1,0,2
female,228678,33,7,ntpc,2,0,0,3,0,2
unspecified,41527,19,8,kh,0,0,0,0,0,2
no_value,3375,0,8,ml,1,0,0,1,0,1
no_value,3300,0,8,ml,1,0,0,1,0,3
no_value,55485,12,8,ty,0,0,0,0,0,3
no_value,2250,0,8,ml,1,0,0,1,0,0
male,5400,1,8,chc,0,0,0,0,0,3
female,29262,12,8,tp,1,0,0,1,0,3
no_value,3600,0,8,ml,1,0,0,1,0,2
no_value,2925,0,9,ttct,0,0,0,0,0,3
no_value,15448,5,9,ttct,1,0,0,1,0,2
female,862,0,9,tn,1,0,0,1,0,2
female,335394,24,9,ty,1,0,0,1,0,3
no_value,1725,0,10,ylc,1,0,0,0,0,2
no_value,17397,4,11,ntpc,1,0,0,1,0,1
no_value,21780,3,1,tc,1,0,0,1,0,3
female,4275,0,1,tp,1,0,0,1,0,3
no_value,40824,4,1,ylc,1,0,0,1,0,3
male,18126,2,1,chc,1,1,1,1,1,3
no_value,900,0,1,kh,1,0,0,1,0,3
no_value,4455,0,2,kh,0,0,0,0,0,3
unspecified,126013,10,3,ml,2,0,0,3,0,3
unspecified,55362,4,3,ml,2,0,0,3,0,3
no_value,675,0,3,tp,1,0,0,1,0,0
male,109352,20,3,ml,1,0,0,1,0,3
no_value,13425,3,4,tc,1,0,0,1,0,2
male,11910,1,4,ml,1,0,0,1,0,3
male,161904,20,4,ml,3,0,0,3,0,3
no_value,68790,4,4,hc,1,0,0,1,0,3
no_value,94880,25,4,ntpc,0,0,0,0,0,2
male,144654,37,4,tc,1,0,0,1,0,3
unspecified,354354,78,4,tc,0,0,0,0,0,3
female,568499,32,4,ntpc,2,0,0,3,1,3
unspecified,10500,5,4,tc,0,0,0,0,0,2
male,18845,1,4,ty,0,0,0,0,0,3
no_value,14473,2,4,ty,1,0,0,0,0,2
no_value,3210,0,4,kh,0,0,0,0,0,3
male,14174,1,4,tp,1,0,0,1,0,3
no_value,3975,0,4,tp,0,0,0,0,0,2
female,222329,23,4,ntpc,1,0,0,2,0,3
no_value,8100,0,5,tn,1,0,0,1,0,3
no_value,7770,5,5,ntpc,1,0,0,1,0,1
female,14572,1,5,tp,0,0,0,0,0,3
unspecified,112315,17,5,ntpc,1,0,0,1,0,3
no_value,1275,0,5,kh,0,0,0,0,0,2
male,3000,1,5,tc,2,0,0,2,1,2
no_value,27586,7,5,ml,1,0,0,0,0,2
female,29613,4,5,ntpc,1,0,0,1,0,3
no_value,3450,0,5,kl,1,0,0,0,0,2
no_value,2775,0,5,kh,1,0,0,1,0,3
no_value,1545,0,5,ntpc,0,0,0,0,0,3
no_value,1575,0,5,ntpc,0,0,0,0,0,3
female,258908,48,5,tp,1,0,0,1,0,3
female,37380,6,5,tp,1,0,0,1,0,2
no_value,21339,4,5,tp,1,0,0,1,0,3
no_value,9345,1,5,kh,1,0,0,1,0,2
unspecified,230489,69,5,ml,1,0,0,2,0,2
no_value,3225,2,6,ml,1,0,0,0,0,1
no_value,3300,0,6,tc,0,0,0,0,0,2
no_value,61910,8,6,ml,1,0,0,0,0,3
no_value,6420,3,6,ntpc,1,0,0,1,0,3
no_value,1950,0,6,tc,1,0,0,0,0,3
female,6892,0,6,tp,0,0,0,0,0,3
no_value,2025,0,6,tc,1,0,0,1,0,1
female,2571,0,6,kh,1,0,0,1,0,3
no_value,8250,0,6,tc,1,0,0,0,0,2
no_value,69266,8,6,tp,0,0,0,0,0,3
no_value,16550,4,6,tn,0,0,0,0,0,2
no_value,22090,1,6,ml,1,0,0,0,0,3
no_value,2025,1,6,cy,1,0,0,1,0,0
male,3555,0,6,tn,0,0,0,0,0,2
no_value,177542,23,6,tc,1,0,0,1,0,2
no_value,11085,1,6,tp,0,0,0,0,0,3
no_value,225,0,7,tc,0,0,0,0,0,0
no_value,6150,1,7,ntct,0,0,0,0,0,3
female,33330,4,7,ntpc,1,0,0,1,0,3
no_value,30773,9,7,tp,1,0,0,1,0,1
unspecified,9345,0,7,ml,1,0,0,1,0,3
female,38105,8,7,kh,0,0,0,0,0,3
female,6900,0,7,tc,0,0,0,0,0,3
male,65349,7,7,ntpc,0,0,0,0,0,3
male,13752,4,7,kh,0,0,0,0,0,2
no_value,13575,1,7,tc,1,0,0,1,0,3
no_value,6135,0,7,tc,0,0,0,0,0,2
no_value,8400,0,7,tc,0,0,0,0,0,3
no_value,44152,2,7,kh,1,0,0,1,0,3
no_value,6686,0,7,ntpc,3,0,0,3,0,3
no_value,11775,1,7,tc,0,0,0,0,0,3
no_value,16162,3,7,tn,0,0,0,0,0,2
female,49335,4,8,ilc,2,1,2,2,1,3
male,13035,1,8,kh,1,0,0,0,0,0
no_value,6284,0,8,ty,0,0,0,0,0,3
no_value,3221,0,8,tp,0,0,0,0,0,3
unspecified,204505,18,8,ml,2,0,0,3,0,3
no_value,44843,6,8,tc,0,0,0,0,0,3
no_value,6663,0,8,ntpc,0,0,0,0,0,2
male,48405,8,8,tc,1,0,0,1,0,3
no_value,14175,5,8,ntpc,1,0,0,1,0,3
no_value,28220,10,8,tp,0,0,0,0,1,2
no_value,8850,0,9,tp,0,0,0,0,0,3
no_value,68111,1,10,ty,0,0,0,0,0,3
no_value,17155,1,10,tp,0,0,0,0,0,3
no_value,4916,2,10,ilc,0,0,0,0,0,1
no_value,10373,4,10,ntpc,0,0,0,0,0,3
no_value,3278,0,11,tp,0,0,0,0,0,3
no_value,10263,2,1,ntpc,0,0,0,0,0,3
female,2237,0,1,tc,0,0,0,0,0,3
female,9947,1,3,tp,0,0,0,0,0,3
male,38859,5,3,kh,0,0,0,0,0,3
no_value,4425,0,3,hlc,0,0,0,0,0,2
no_value,3750,0,4,ilc,0,0,0,0,0,2
no_value,3445,0,4,tp,0,0,0,0,0,3
male,1050,0,4,kh,0,0,0,0,0,2
no_value,57,0,5,kh,0,0,0,0,0,0
no_value,37315,5,5,ntpc,1,0,0,1,0,3
female,508364,55,5,ntpc,8,0,5,11,2,3
no_value,1200,0,5,chc,0,0,0,0,0,3
female,18976,2,5,tp,0,0,0,0,0,3
no_value,4050,0,5,tc,0,0,0,0,0,3
no_value,3885,0,5,tp,0,0,0,0,0,2
female,106657,16,5,ptc,0,0,0,0,0,2
no_value,1503,0,5,tp,0,0,0,0,0,2
no_value,3917,0,5,ty,0,0,0,0,0,2
no_value,989,0,6,ty,1,0,0,1,0,1
no_value,1185,0,6,cy,1,1,1,1,1,0
no_value,3975,3,6,ntpc,1,0,0,1,0,0
no_value,4455,0,6,ty,1,0,0,1,0,3
no_value,29268,3,7,chc,1,0,0,1,0,2
no_value,6750,2,7,hlc,0,0,0,0,0,1
male,65031,13,7,hc,1,0,0,1,0,3
no_value,12750,1,7,tp,1,0,0,1,0,2
no_value,4897,1,7,ty,0,0,0,0,0,2
no_value,6855,3,7,ntpc,0,0,0,0,0,3
no_value,13258,1,8,chc,0,0,0,0,0,2
male,2424,0,8,ntpc,2,0,0,2,0,3
no_value,4651,0,8,ntpc,0,0,0,0,0,3
no_value,7047,0,8,chc,0,0,0,0,0,3
female,2550,0,8,tc,0,0,0,0,0,2
no_value,2741,1,8,chc,0,0,0,0,0,0
female,8200,0,8,ntpc,0,0,0,0,0,3
no_value,1200,0,9,tp,2,0,0,2,0,1
female,36381,1,9,tc,1,0,0,1,0,3
no_value,1275,0,9,tp,1,0,0,1,0,3
female,20160,5,9,ylc,1,0,0,1,0,2
no_value,4408,3,10,ntpc,0,0,0,0,0,0
no_value,10500,1,10,ty,0,0,0,0,0,3
female,27874,3,1,tc,0,0,0,0,0,3
no_value,3975,0,1,ylc,0,0,0,0,0,3
unspecified,16661,1,1,ty,1,1,1,1,1,3
no_value,11385,1,2,ml,1,0,0,1,0,3
no_value,22410,5,3,ylc,1,0,0,1,0,2
unspecified,8829,0,3,tc,0,0,0,0,0,3
male,33728,4,3,chc,1,0,0,1,0,3
no_value,1012,0,3,tp,0,0,0,0,0,3
female,72126,8,3,ntpc,1,0,0,1,0,3
female,2175,0,3,tc,0,0,0,0,0,3
no_value,32540,9,3,ylc,1,0,0,1,0,2
no_value,18825,1,3,ty,1,0,0,1,0,3
male,5025,0,4,kh,1,0,0,1,0,3
no_value,6300,0,4,tp,0,0,0,0,0,2
female,342343,55,4,tc,1,0,0,1,0,2
male,1202797,144,4,ty,0,0,0,0,0,3
male,30607,8,4,ty,0,0,0,0,0,3
female,69311,4,4,tp,0,0,0,0,0,3
no_value,4875,0,5,tc,0,0,0,0,0,3
no_value,5401,0,5,tc,0,0,0,0,0,3
no_value,4260,0,5,tp,0,0,0,0,0,3
male,176295,26,5,tp,0,0,0,0,0,3
female,25380,2,5,tp,1,0,0,1,0,3
no_value,65759,9,5,ntpc,1,0,0,1,0,3
female,8105,0,5,ml,1,0,0,1,0,3
female,16266,2,6,ptc,1,0,0,1,0,2
female,17623,4,6,tc,0,0,0,0,0,2
female,25474,5,6,ptc,1,0,0,1,0,2
male,18436,6,6,ptc,1,0,0,1,0,2
female,30240,6,6,ptc,1,0,0,1,0,2
no_value,3525,0,6,tp,0,0,0,0,0,2
male,37890,4,6,ptc,1,0,0,1,0,2
unspecified,23776,2,6,tn,0,0,0,0,0,3
unspecified,17918,2,6,ptc,1,0,0,1,0,2
no_value,7065,0,6,tc,1,0,0,1,0,3
male,8025,3,6,ptc,1,0,0,1,0,1
female,28336,11,6,ptc,1,0,0,1,0,1
no_value,23166,3,6,tp,0,0,0,0,0,3
no_value,225,0,7,tp,0,0,0,0,0,0
no_value,13540,3,7,ty,0,0,0,0,0,1
no_value,4916,0,7,ntpc,0,0,0,0,0,2
female,4921,0,7,ntpc,0,0,0,0,0,3
no_value,29100,11,7,tp,1,0,0,1,0,2
no_value,9520,2,7,ntpc,0,0,0,0,0,2
no_value,1050,0,7,ntpc,0,0,0,0,0,2
no_value,29442,11,7,ntpc,0,0,0,0,0,1
male,4620,1,7,kh,1,0,0,1,0,3
no_value,4993,2,7,ntpc,0,0,0,0,0,2
no_value,16801,2,7,tc,0,0,0,0,0,3
no_value,16645,5,8,ntpc,0,0,0,0,0,2
no_value,7780,0,8,tc,0,0,0,0,0,3
female,75,0,8,ml,1,0,0,0,0,1
female,15399,3,9,tp,0,0,0,0,0,3
no_value,35622,8,9,tp,0,0,0,0,0,3
no_value,5512,0,9,tp,0,0,0,0,0,2
female,222840,2,10,tp,0,0,0,0,0,3
no_value,120000,16,10,ntpc,0,0,0,0,0,3
no_value,25047,6,10,tp,0,0,0,0,0,2
no_value,1200,0,10,ty,0,0,0,0,0,1
no_value,3364,0,10,tp,0,0,0,0,0,3
no_value,5100,1,10,ty,0,0,0,0,0,2
male,342405,6,10,ty,0,0,0,0,0,3
no_value,2414,0,12,kh,0,0,0,0,0,0
no_value,114216,10,1,ntpc,1,0,0,1,0,3
no_value,20795,2,1,tp,0,0,0,0,0,2
unspecified,87124,8,1,ntpc,1,0,0,1,0,3
no_value,18650,2,1,tc,0,0,0,0,0,2
no_value,18037,1,1,tc,0,0,0,0,0,3
female,180713,31,2,ilc,0,0,0,0,0,2
